Jump,retOpen,Returns(120mins),Returns(90mins),Returns(60mins),Returns(30mins),Returns(15mins),ATR,EndBars,Target
0.997243,0.105,-0.205002,-0.170002,-0.110001,-0.0425,-0.0625,0.72462,13,4
0.997243,0.172501,-0.075001,-0.037498,0.025002,0.005001,0.067501,0.72462,12,4
0.997243,0.215,-0.060001,0,0.067501,0.110001,0.0425,0.72462,11,4
0.997243,0.407501,0.197502,0.260002,0.240002,0.235001,0.192501,0.72462,10,4
0.997243,0.455002,0.240002,0.307503,0.350002,0.240002,0.047501,0.72462,9,3
0.997243,0.455002,0.307503,0.287502,0.282501,0.047501,0,0.72462,8,3
0.997243,0.547501,0.400002,0.442501,0.3325,0.092499,0.092499,0.72462,7,2
0.997243,0.470001,0.302502,0.297501,0.0625,0.014999,-0.077499,0.72462,6,2
0.997243,0.5075,0.4025,0.2925,0.052498,-0.040001,0.037498,0.72462,5,2
0.997243,0.549999,0.377499,0.142498,0.094997,0.079998,0.0425,0.72462,4,1
0.997243,0.537498,0.322498,0.082497,-0.010002,0.029999,-0.012501,0.72462,3,2
0.997243,0.490002,0.0825,0.035,0.02,-0.059998,-0.047497,0.72462,2,2
0.997243,0.505001,0.049999,-0.0425,-0.002499,-0.032497,0.014999,0.728466,1,2
1.005564,-0.709999,-0.110001,-0.080002,-0.02,0.005001,0.044998,0.728466,24,0
1.005564,-0.692497,-0.0825,0.022503,-0.017498,0.0625,0.017502,0.728466,23,0
1.005564,-0.715,-0.085003,-0.025002,0,-0.005001,-0.022503,0.728466,22,0
1.005564,-0.669998,0.045002,0.005001,0.084999,0.022499,0.045002,0.728466,21,0
1.005564,-0.689999,0,0.025002,0.02,0.025002,-0.02,0.728466,20,0
1.005564,-0.689999,-0.014999,0.064999,0.002499,-0.02,0,0.728466,19,0
1.005564,-0.674999,0.040001,0.035,0.040001,0.014999,0.014999,0.728466,18,0
1.005564,-0.827499,-0.072502,-0.135002,-0.157501,-0.137501,-0.1525,0.728466,17,0
1.005564,-0.872498,-0.162498,-0.157497,-0.182499,-0.197498,-0.044998,0.728466,16,0
1.005564,-0.852497,-0.16,-0.182499,-0.162498,-0.024998,0.02,0.728466,15,0
1.005564,-0.832497,-0.117496,-0.142498,-0.157497,0.040001,0.02,0.728466,14,0
